,종목코드,종목명,결산월,액면가,자본금,상장주식,신용비율,연중최고,연중최저,시가총액,시가총액비중,외인소진률,대용가,PER,EPS,ROE,PBR,EV,BPS,매출액,영업이익,당기순이익,250최고,250최저,시가,고가,저가,상한가,하한가,기준가,예상체결가,예상체결수량,250최고가일,250최고가대비율,250최저가일,250최저가대비율,현재가,대비기호,전일대비,등락율,거래량,거래대비,액면가단위,유통주식,유통비율
0,005930,삼성전자,12,100,7780,5969783,+0.20,+96800,-72500,4435548,,+51.64,59680,19.34,3841,10.0,1.89,5.11,39406,2368070,359939,264078,+96800,-54000,-74300,+75000,-73800,+96900,-52300,74600,-0,0,20210111,-23.24,20200831,+37.59,-74300,5,-300,-0.40,15172748,-91.01,원,4453842,74.6
0,000660,SK하이닉스,12,5000,36577,728002,+0.57,+150500,-98900,753482,,+46.20,79040,15.85,6532,9.5,1.39,5.63,74721,319004,50126,47589,+150500,-74900,-103500,+104500,-101000,+135000,-73000,104000,-0,0,20210302,-31.23,20200902,+38.18,-103500,5,-500,-0.48,3507782,-94.94,원,540666,74.3
0,035420,NAVER,12,100,165,164263,+0.17,+465000,-285500,689906,,+56.72,330330,68.88,6097,15.2,8.04,39.19,52245,53041,12153,8450,+465000,-273500,-422000,423500,-416500,+550000,-296500,423500,-0,0,20210726,-9.68,20201117,+53.56,-420000,5,-3500,-0.83,567004,-87.78,원,132470,80.6
0,035720,카카오,12,100,445,444707,+0.50,+561000,-108000,667061,,+31.99,113620,425.04,353,2.7,10.54,88.53,14237,41568,4559,1734,+561000,-108000,-149000,+150000,-147000,+194000,-105000,149500,-0,0,20210408,-73.26,20210513,+38.89,+150000,2,+500,+0.33,1430634,-60.62,원,324521,73.0
0,207940,삼성바이오로직스,12,2500,1654,66165,+0.15,+1047000,-679000,626583,,+10.52,725040,260.02,3642,5.4,13.62,143.40,69505,11648,2928,2410,+1047000,-624000,-947000,954000,-943000,+1240000,-668000,954000,-0,0,20210818,-9.55,20201027,+51.76,-947000,5,-7000,-0.73,75275,-75.22,원,16397,24.8
0,051910,LG화학,12,5000,3530,70592,+0.23,+1050000,-757000,552738,,+47.30,598880,119.57,6549,2.9,3.39,14.98,230896,300765,17982,6824,+1050000,-588000,-782000,788000,-757000,+1024000,-552000,788000,-0,0,20210114,-25.43,20201102,+33.16,-783000,5,-5000,-0.63,353049,+146.76,원,46663,66.1
0,006400,삼성SDI,12,5000,3485,68765,+0.31,+828000,-600000,526049,,+44.71,581400,93.68,8166,4.5,4.04,31.25,189291,112948,6713,6310,+828000,-406000,-762000,+770000,-755000,+994000,-536000,765000,-0,0,20210813,-7.61,20200925,+88.42,765000,3,0,0.00,152681,-70.29,원,50178,73.0
0,005380,현대차,12,5000,11580,213668,+0.65,+289000,-193500,445498,,+28.48,159600,40.54,5144,2.0,0.81,16.22,257028,1039976,23947,19246,+289000,-156500,-209000,-209500,-205000,+273000,-147000,210000,-0,0,20210111,-27.85,20201020,+33.23,-208500,5,-1500,-0.71,502218,+120.34,원,137665,64.4
0,068270,셀트리온,12,1000,1379,137935,+1.45,+390000,-244000,406218,,+20.98,210530,79.24,3717,16.7,11.50,45.65,25619,18491,7121,5192,+403500,-233500,+285000,+297000,-282500,+369500,-199500,284500,-0,0,20201207,-27.01,20201023,+26.12,+294500,2,+10000,+3.51,1202846,+198.77,원,104451,75.7
0,000270,기아,12,5000,21393,405363,+0.56,+102000,-61700,332803,,+33.59,60680,22.37,3670,5.1,1.11,6.74,74274,591681,20665,14876,+102000,-41250,-81600,+82300,-81300,+106500,-57400,82000,-0,0,20210203,-19.51,20200904,+99.03,+82100,2,+100,+0.12,738873,-80.02,원,251408,62.0
0,005490,POSCO,12,5000,4824,87187,+0.26,+413500,-242500,274639,,+53.86,250770,17.14,18376,3.6,0.59,5.29,535894,577928,24030,17882,+413500,-183500,-317500,-320000,-313500,+417500,-225500,321500,-0,0,20210510,-23.82,20200909,+71.66,-315000,5,-6500,-2.02,376740,-99.58,원,58826,67.5
0,012330,현대모비스,12,5000,4910,94793,+0.59,+405000,-249000,256889,,+35.42,202920,16.85,16083,4.7,0.76,6.51,355702,366265,18303,15269,+405000,-214000,-266000,+271500,-264500,+347000,-187000,267000,-0,0,20210111,-33.09,20201020,+26.64,+271000,2,+4000,+1.50,236067,-82.80,원,61845,65.2
0,028260,삼성물산,12,100,187,186887,+0.29,+160000,-117000,247625,,+15.10,102960,24.23,5468,3.8,0.78,16.66,169260,302161,8571,11607,+160000,-101500,+132500,+133500,-131000,+171500,-92500,132000,-0,0,20210111,-17.19,20201020,+30.54,+132500,2,+500,+0.38,247480,+113.03,원,98885,52.9
0,066570,LG전자,12,5000,8182,163648,+0.84,+193000,-135000,229925,,+31.37,110370,12.91,10885,13.2,1.64,4.76,85617,632620,31950,20638,+193000,-82900,-141000,-141000,-139000,+183500,-99500,141500,-0,0,20210122,-27.20,20200907,+69.48,-140500,5,-1000,-0.71,593281,-73.55,원,107377,65.6
0,105560,KB금융,12,5000,20906,415808,+0.13,+59800,-40250,227447,,+67.67,42270,6.58,8309,8.5,0.52,,104952,144857,46160,35023,+59800,-36500,-54100,+54800,-53600,+70400,-38000,54200,-0,0,20210511,-8.53,20200827,+49.86,+54700,2,+500,+0.92,1461836,-65.95,원,323408,77.8
0,096770,SK이노베이션,12,5000,4623,92466,+0.95,+327500,-198000,221455,,+22.72,176490,,-23185,-13.6,1.39,,172589,341645,-25688,-21467,+327500,-119500,-237000,+241000,-234000,+310000,-167000,238500,-0,0,20210203,-26.87,20201102,+100.42,+239500,2,+1000,+0.42,259946,+106.43,원,51444,55.6
0,302440,SK바이오사이언스,12,500,383,76500,+0.62,+362000,-111500,221468,,+4.03,0,538.69,537,13.3,67.16,406.59,4310,2256,377,329,+362000,-111500,-285000,+290000,-278000,+371500,-200500,286000,-0,0,20210817,-20.03,20210408,+159.64,+289500,2,+3500,+1.22,678164,-40.96,원,20337,26.6
